X @ L
C C R;X M C;M C C;C C R;M C C
C R C;X M C;M C R;C R C;M C R
M C Q;X X M;X M C;M C Q;X M M
C C A;X M C;M C C;C C A;M C M
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
a;M C C;C C L;C L X;C R M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C L;C L L;M C C
L M L;L M L;M L L;L L L;M C L
M M L;M M L;M L L;L L L;M C L
C C Q;X M C;M C C;C C Q;M C M
L L Q;M C L;C L L;L L Q;C C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
C R C;X M C;M C R;C R C;M C R
M C Q;X X M;X M C;M C Q;X M M
C C A;X M C;M C C;C C A;M C M
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
a;C C L;C L X;L X X;R M X
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C L;C L L;M C C
B C L;B C L;C L X;L X X;R M X
L M L;L M L;M L L;L L L;M C L
M M L;M M L;M L L;L L L;M C L
C C Q;X M C;M C C;C C Q;M C M
L L Q;M C L;C L L;L L Q;C C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
C R C;X M C;M C R;C R C;M C R
M C Q;X X M;X M C;M C Q;X M M
C C A;X M C;M C C;C C A;M C M
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
a;X M C;M C R;C R M;M C Q
v;X X M;X M C;M C Q;X M M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R M;M C Q
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C L;C L L;M C C
B C L;B C L;C L X;L X X;R M X
L M L;L M L;M L L;L L L;M C L
M M L;M M L;M L L;L L L;M C L
C C Q;X M C;M C C;C C Q;M C M
L L Q;M C L;C L L;L L Q;C C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
C R C;X M C;M C R;C R C;M C R
C Q M;X M C;M C Q;C Q M;M M M
C C A;X M C;M C C;C C A;M C M
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
a;M C R;C R M;R M X;C Q M
v;X M C;M C Q;C Q M;M M M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R M;M C Q
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C L;C L L;M C C
B C L;B C L;C L X;L X X;R M X
L M L;L M L;M L L;L L L;M C L
M M L;M M L;M L L;L L L;M C L
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
L L Q;M C L;C L L;L L Q;C C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
C R C;X M C;M C R;C R C;M C R
R M R;M C R;C R M;R M R;C Q M
Q M X;M C Q;C Q M;Q M X;M M M
Q M X;C Q M;Q M X;M X X;M M X
C C A;X M C;M C C;C C A;M C M
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
a;C R M;R M X;M X X;Q M X
v;M C Q;C Q M;Q M X;M M M
v;C Q M;Q M X;M X X;M M X
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C C A;X M C;M C C;C C A;M C M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R M;M C Q
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
C R C;X M C;M C R;C R C;M C R
R M R;M C R;C R M;R M R;C Q M
B R M;B R M;R M X;M X X;Q M X
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
a;M C C;C C L;C L L;C R C
v;X M C;M C R;C R C;M C R
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C C A;X M C;M C C;C C A;M C M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R C;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
R C B;M C R;C R C;R C B;C R C
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
R M R;M C R;C R M;R M R;C Q M
C L A;M C C;C C L;C L A;C R C
B R M;B R M;R M X;M X X;Q M X
R C R;M C R;C R C;R C R;C R C
L L A;M C L;C L L;L L A;C C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
R C Q;M C R;C R C;R C Q;C R M
a;C C L;C L L;L L X;R C L
v;C C L;C L L;L L L;R C L
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;C C L;C L L;L L Q;R C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C C A;X M C;M C C;C C A;M C M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R C;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
B C L;B C L;C L L;L L X;R C L
B C L;B C L;C L L;L L L;R C L
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
R C B;M C R;C R C;R C B;C R C
C R B;X M C;M C R;C R B;M C C
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
R M R;M C R;C R M;R M R;C Q M
C L A;M C C;C C L;C L A;C R C
B R M;B R M;R M X;M X X;Q M X
R C R;M C R;C R C;R C R;C R C
L L A;M C L;C L L;L L A;C C L
L L A;C C L;C L L;L L A;R C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
R C Q;M C R;C R C;R C Q;C R M
a;M C R;C R C;R C L;C R B
v;X M C;M C R;C R B;M C C
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;C C L;C L L;L L Q;R C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C C A;X M C;M C C;C C A;M C M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
M M C;M M C;M C R;C R B;M C C
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R C;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C R;C R B;M C C
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
B C L;B C L;C L L;L L X;R C L
B C L;B C L;C L L;L L L;R C L
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
R C B;M C R;C R C;R C B;C R C
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
R C C;M C R;C R C;R C C;C R B
R M R;M C R;C R M;R M R;C Q M
C L A;M C C;C C L;C L A;C R C
B R M;B R M;R M X;M X X;Q M X
R C R;M C R;C R C;R C R;C R C
L L A;M C L;C L L;L L A;C C L
L L A;C C L;C L L;L L A;R C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
R C Q;M C R;C R C;R C Q;C R M
a;C R C;R C L;C L X;R B M
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;C C L;C L L;L L Q;R C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C C A;X M C;M C C;C C A;M C M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
M M C;M M C;M C R;C R B;M C C
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R C;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C R;C R B;M C C
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
B C L;B C L;C L L;L L X;R C L
B C L;B C L;C L L;L L L;R C L
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
R C B;M C R;C R C;R C B;C R C
B R C;B R C;R C L;C L X;R B M
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
R C C;M C R;C R C;R C C;C R B
R M R;M C R;C R M;R M R;C Q M
C L A;M C C;C C L;C L A;C R C
B R M;B R M;R M X;M X X;Q M X
R C R;M C R;C R C;R C R;C R C
L L A;M C L;C L L;L L A;C C L
L L A;C C L;C L L;L L A;R C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
R C Q;M C R;C R C;R C Q;C R M
a;R C L;C L X;L X X;B M X
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;C C L;C L L;L L Q;R C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C C A;X M C;M C C;C C A;M C M
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
M M C;M M C;M C R;C R B;M C C
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R C;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C R;C R B;M C C
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
B C L;B C L;C L L;L L X;R C L
B C L;B C L;C L L;L L L;R C L
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
R C B;M C R;C R C;R C B;C R C
B R C;B R C;R C L;C L X;R B M
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
R C C;M C R;C R C;R C C;C R B
R M R;M C R;C R M;R M R;C Q M
C L A;M C C;C C L;C L A;C R C
B R M;B R M;R M X;M X X;Q M X
R C R;M C R;C R C;R C R;C R C
L L A;M C L;C L L;L L A;C C L
L L A;C C L;C L L;L L A;R C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
R C Q;M C R;C R C;R C Q;C R M
a;M C R;C R B;R B M;C C A
v;X M C;M C C;C C A;M C M
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;C C L;C L L;L L Q;R C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
M M C;M M C;M C C;C C A;M C M
M M C;M M C;M C R;C R B;M C C
C C B;X M C;M C C;C C B;M C C
C M Q;X M C;M C M;C M Q;M M M
Q M C;M C Q;C Q M;Q M C;M M M
Q M C;C Q M;Q M C;M C Q;M M M
Q M C;Q M C;M C Q;C Q M;M M M
Q M C;Q M C;M C C;C C L;M C R
Q M C;Q M C;M C R;C R C;M C R
Q M C;Q M C;M C R;C R M;M C Q
Q M C;Q M C;M C C;C C A;M C M
Q M C;Q M C;M C R;C R B;M C C
Q M C;Q M C;M C L;C L L;M C C
M Q M;M Q M;Q M X;M X X;M M X
L Q M;L Q M;Q M X;M X X;Q M X
B C L;B C L;C L X;L X X;R M X
B C L;B C L;C L L;L L X;R C L
B C L;B C L;C L L;L L L;R C L
L M L;L M L;M L L;L L L;M C L
Q Q M;Q Q M;Q M X;M X X;Q M X
M M L;M M L;M L L;L L L;M C L
R Q M;R Q M;Q M X;M X X;Q M X
C C Q;X M C;M C C;C C Q;M C M
Q M M;M C Q;C Q M;Q M M;M M M
R C B;M C R;C R C;R C B;C R C
B R C;B R C;R C L;C L X;R B M
C C R;X M C;M C C;C C R;M C C
R M M;M C R;C R M;R M M;C Q M
R C C;M C R;C R C;R C C;C R B
R M R;M C R;C R M;R M R;C Q M
C L A;M C C;C C L;C L A;C R C
B R M;B R M;R M X;M X X;Q M X
R C R;M C R;C R C;R C R;C R C
L L A;M C L;C L L;L L A;C C L
L L A;C C L;C L L;L L A;R C L
L L A;M L L;L L L;L L A;C L L
L L A;C L L;L L L;L L A;C L L
L L A;L L L;L L L;L L A;L L L
R C Q;M C R;C R C;R C Q;C R M
a;C R B;R B M;B M X;C A M
C L Q;M C C;C C L;C L Q;C R C
Q R M;Q R M;R M X;M X X;Q M X
L L Q;M C L;C L L;L L Q;C C L
L L Q;C C L;C L L;L L Q;R C L
L L Q;M L L;L L L;L L Q;C L L
L L Q;C L L;L L L;L L Q;C L L
L L Q;L L L;L L L;L L Q;L L L
Q L L;Q L L;L L L;L L L;L L L
C M M;X M C;M C M;C M M;M M M
C C C;X M C;M C C;C C C;M C R
M M C;M M C;M C Q;C Q M;M M M
M M C;M M C;M C L;C L L;M C C
M M C;M M C;M C C;C C L;M C R
M M C;M M C;M C R;C R C;M C R
M M C;M M C;M C R;C R M;M C Q
M M C;M M C;M C C;C C A;M C M
M M C;M M C;M C R;C R B;M C C
C C B;X M C;M C C;C C B;M C C
